cntyname,State,PUMA10,PUMA00,Pop14
Aleutians East Borough AK,AK,400,400,3360
Aleutians West Census Area AK,AK,400,400,5750
Anchorage Borough AK,AK,101,101,136713.204
Anchorage Borough AK,AK,102,102,164296.796
Bethel Census Area AK,AK,400,400,17868
Bristol Bay Borough AK,AK,400,400,957
Denali Borough AK,AK,300,300,1921
Dillingham Census Area AK,AK,400,400,4988
Fairbanks North Star Borough AK,AK,300,300,99357
Haines Borough AK,AK,300,300,2566
Hoonah-Angoon Census Area,AK,400,400,2082
Juneau Borough AK,AK,300,300,32406
Kenai Peninsula Borough AK,AK,200,200,57477
Ketchikan Gateway Borough AK,AK,300,300,13781.885
Ketchikan Gateway Borough AK,AK,300,400,5.115
Kodiak Island Borough AK,AK,400,400,13986
Lake and Peninsula Borough AK,AK,400,400,1631
Matanuska-Susitna Borough AK,AK,200,200,97882
Nome Census Area AK,AK,400,400,9817
North Slope Borough AK,AK,400,400,9703
Northwest Arctic Borough AK,AK,400,400,7717
Petersburg Census Area,AK,400,400,3160
Prince of Wales-Hyder Census Area,AK,400,400,6396
Sitka Borough AK,AK,400,300,8900
Skagway Municipality,AK,300,400,1036
Southeast Fairbanks Census Area AK,AK,300,300,6931
Valdez-Cordova Census Area AK,AK,300,300,9488
Wade Hampton Census Area AK (D),AK,400,400,8010
Wrangell City and Borough,AK,400,400,2364
Yakutat Borough,AK,400,400,635
Yukon-Koyukuk Census Area AK,AK,400,400,5547
Autauga AL,AL,2100,2000,55395
Baldwin AL,AL,2600,2400,200111
Barbour AL,AL,2400,1800,26887
Bibb AL,AL,1700,1500,22506
Blount AL,AL,800,800,57719
Bullock AL,AL,2400,1800,10764
Butler AL,AL,2300,1800,20296
Calhoun AL,AL,1100,1100,3.91
Calhoun AL,AL,1100,1200,115912.09
Chambers AL,AL,1800,1600,34076
Cherokee AL,AL,1000,1100,26037
Chilton AL,AL,1800,1600,43931
Choctaw AL,AL,2200,2100,13323
Clarke AL,AL,2200,2100,24945
Clay AL,AL,1000,1100,13552
Cleburne AL,AL,1000,1100,15080
Coffee AL,AL,2300,2500,50909
Colbert AL,AL,100,100,54543
Conecuh AL,AL,2200,2100,12670
Coosa AL,AL,1800,1600,10886
Covington AL,AL,2300,2500,37914
Crenshaw AL,AL,2300,1800,13977
Cullman AL,AL,700,500,81289
Dale AL,AL,2500,2600,49484
Dallas AL,AL,1700,1500,41710.048
Dallas AL,AL,1700,2100,0.952
DeKalb AL,AL,400,400,71065
Elmore AL,AL,2100,2000,80977
Escambia AL,AL,2200,2100,37733
Etowah AL,AL,900,1000,103531
Fayette AL,AL,1400,700,16874
Franklin AL,AL,100,700,31601
Geneva AL,AL,2500,2500,26708.012
Geneva AL,AL,2500,2600,3.988
Greene AL,AL,1700,1500,8553
Hale AL,AL,1700,1500,15184
Henry AL,AL,2500,1800,17190
Houston AL,AL,2500,2600,104193
Jackson AL,AL,400,400,52665
Jefferson AL,AL,1301,902,101189.341
Jefferson AL,AL,1302,901,89939.725
Jefferson AL,AL,1302,903,14.049
Jefferson AL,AL,1302,904,12505.037
Jefferson AL,AL,1303,901,2.007
Jefferson AL,AL,1303,903,170744.28
Jefferson AL,AL,1304,904,175290.289
Jefferson AL,AL,1305,905,111108.271
Lamar AL,AL,1400,700,14086
Lauderdale AL,AL,100,100,93096
Lawrence AL,AL,600,600,33477
Lee AL,AL,1900,1700,154183.508
Lee AL,AL,1900,1800,71.492
Limestone AL,AL,200,300,90787
Lowndes AL,AL,2100,2100,10580
Macon AL,AL,2400,1800,19425
Madison AL,AL,200,200,8493.53
Madison AL,AL,200,300,84664.319
Madison AL,AL,301,200,57615.387
Madison AL,AL,301,300,66809.91
Madison AL,AL,302,200,105408.495
Madison AL,AL,302,300,809.804
Madison AL,AL,500,200,10146.619
Madison AL,AL,500,300,16350.935
Marengo AL,AL,1700,1500,20110
Marion AL,AL,100,700,7725.125
Marion AL,AL,1400,700,22545.875
Marshall AL,AL,500,500,94636
Mobile AL,AL,2701,2200,90917.719
Mobile AL,AL,2701,2300,20418.818
Mobile AL,AL,2702,2200,97485.434
Mobile AL,AL,2702,2300,10353.147
Mobile AL,AL,2703,2200,2949.139
Mobile AL,AL,2703,2300,192998.743
Monroe AL,AL,2200,2100,21947
Montgomery AL,AL,2000,1900,187600.494
Montgomery AL,AL,2000,2000,6213.805
Montgomery AL,AL,2100,1900,14214.534
Montgomery AL,AL,2100,2000,18160.167
Morgan AL,AL,600,600,119607
Perry AL,AL,1700,1500,9826
Pickens AL,AL,1500,700,20365
Pike AL,AL,2400,1800,33389
Randolph AL,AL,1000,1100,22539
Russell AL,AL,2400,1700,2.252
Russell AL,AL,2400,1800,59605.748
Shelby AL,AL,1200,1300,206655
St. Clair AL,AL,800,800,86697
Sumter AL,AL,1700,700,13166
Talladega AL,AL,1000,1100,81322
Tallapoosa AL,AL,1800,1600,41135.325
Tallapoosa AL,AL,1800,1800,29.675
Tuscaloosa AL,AL,1500,1400,87288.692
Tuscaloosa AL,AL,1600,1400,114923.308
Walker AL,AL,1400,800,65471
Washington AL,AL,2200,2100,16834
Wilcox AL,AL,2200,2100,11098
Winston AL,AL,700,500,24150
Arkansas AR,AR,1700,1600,11185.339
Arkansas AR,AR,1800,1600,7408.661
Ashley AR,AR,1800,1700,20948
Baxter AR,AR,300,300,40857
Benton AR,AR,100,100,242321
Boone AR,AR,300,300,37196
Bradley AR,AR,1800,1700,11148
Calhoun AR,AR,1900,1800,5202
Carroll AR,AR,300,300,27744
Chicot AR,AR,1800,1700,11180
Clark AR,AR,1600,1500,22576
Clay AR,AR,500,500,15118
Cleburne AR,AR,400,400,25634
Cleveland AR,AR,1800,1700,8449
Columbia AR,AR,1900,1800,23933
Conway AR,AR,1300,1200,21083
Craighead AR,AR,500,500,92193.173
Craighead AR,AR,600,500,10324.827
Crawford AR,AR,1400,1300,61697
Crittenden AR,AR,600,600,49548
Cross AR,AR,700,700,17227
Dallas AR,AR,1900,1800,7755
Desha AR,AR,1800,1700,12264
Drew AR,AR,1800,1700,18622
Faulkner AR,AR,1100,1100,120768
Franklin AR,AR,1500,1400,17805
Fulton AR,AR,400,400,12125
Garland AR,AR,1600,1500,97322
Grant AR,AR,1700,1600,18144
Greene AR,AR,500,500,43694
Hempstead AR,AR,2000,1900,22327
Hot Spring AR,AR,1600,1500,33368
Howard AR,AR,1500,1400,13500
Independence AR,AR,400,400,36959
Izard AR,AR,400,400,13486
Jackson AR,AR,800,800,17534
Jefferson AR,AR,1700,1600,72297
Johnson AR,AR,1300,1200,26005
Lafayette AR,AR,2000,1900,7111
Lawrence AR,AR,500,500,16931
Lee AR,AR,700,700,9860
Lincoln AR,AR,1800,1700,13970
Little River AR,AR,2000,1900,12532
Logan AR,AR,1500,1400,21958
Lonoke AR,AR,1100,1100,71557
Madison AR,AR,300,300,15740
Marion AR,AR,300,300,16367
Miller AR,AR,2000,1900,43428
Mississippi AR,AR,600,600,44235
Monroe AR,AR,700,800,7582
Montgomery AR,AR,1600,1500,9082
Nevada AR,AR,2000,1900,8723
Newton AR,AR,300,300,7904
Ouachita AR,AR,1900,1800,24828
Perry AR,AR,1300,1200,10245
Phillips AR,AR,700,700,19930
Pike AR,AR,2000,1900,11024
Poinsett AR,AR,700,700,24246
Polk AR,AR,1500,1400,20221.085
Polk AR,AR,1500,1500,3.915
Pope AR,AR,1300,1200,63201
Prairie AR,AR,800,800,8304
Pulaski AR,AR,900,900,10575.051
Pulaski AR,AR,900,1000,192293.144
Pulaski AR,AR,1000,900,186937.389
Pulaski AR,AR,1000,1000,2896.417
Randolph AR,AR,500,500,17571
Saline AR,AR,1200,1100,115719
Scott AR,AR,1500,1400,10693
Searcy AR,AR,300,300,7929
Sebastian AR,AR,1400,1300,126776
Sevier AR,AR,1500,1400,17426
Sharp AR,AR,400,400,16906
St. Francis AR,AR,700,700,26899
Stone AR,AR,400,400,12494
Union AR,AR,1900,1800,40227
Van Buren AR,AR,400,400,16849.051
Van Buren AR,AR,400,1200,1.949
Washington AR,AR,200,100,101.119
Washington AR,AR,200,200,220690.881
White AR,AR,800,800,78592
Woodruff AR,AR,800,800,6910
Yell AR,AR,1300,1200,21951
Apache AZ,AZ,300,300,71828
Cochise AZ,AZ,900,900,127448
Coconino AZ,AZ,400,400,137682
Gila AZ,AZ,800,800,53119
Graham AZ,AZ,800,900,37957
Greenlee AZ,AZ,800,900,9346
La Paz AZ,AZ,600,600,20231
Maricopa AZ,AZ,100,120,505.396
Maricopa AZ,AZ,100,121,118651.255
Maricopa AZ,AZ,101,114,55885.832
Maricopa AZ,AZ,101,122,100769.673
Maricopa AZ,AZ,102,114,114757.995
Maricopa AZ,AZ,102,115,25631.695
Maricopa AZ,AZ,103,114,3629.854
Maricopa AZ,AZ,103,115,109967.445
Maricopa AZ,AZ,104,114,37190.478
Maricopa AZ,AZ,104,115,17576.417
Maricopa AZ,AZ,104,122,52553.648
Maricopa AZ,AZ,105,120,3039.869
Maricopa AZ,AZ,105,121,141853.41
Maricopa AZ,AZ,106,120,119427.551
Maricopa AZ,AZ,106,121,2676.883
Maricopa AZ,AZ,107,120,107535.764
Maricopa AZ,AZ,108,116,68353.685
Maricopa AZ,AZ,108,120,39843.805
Maricopa AZ,AZ,109,116,109377.46
Maricopa AZ,AZ,110,105,36166.838
Maricopa AZ,AZ,110,106,89066.338
Maricopa AZ,AZ,111,105,94114.941
Maricopa AZ,AZ,111,106,18182.463
Maricopa AZ,AZ,112,103,22.486
