cntyname,State,PUMA,Pop10,Pop14
Anchorage Borough AK,AK,101,132542,136713.204
Anchorage Borough AK,AK,102,159284,164296.796
Kenai Peninsula Borough AK,AK,200,55400,57477
Matanuska-Susitna Borough AK,AK,200,88995,97882
Denali Borough AK,AK,300,1826,1921
Fairbanks North Star Borough AK,AK,300,97581,99357
Haines Borough AK,AK,300,2508,2566
Juneau Borough AK,AK,300,31275,32406
Ketchikan Gateway Borough AK,AK,300,13472,13781.885
Sitka Borough AK,AK,300,8881,8900
Southeast Fairbanks Census Area AK,AK,300,7029,6931
Valdez-Cordova Census Area AK,AK,300,9636,9488
Aleutians East Borough AK,AK,400,3141,3360
Aleutians West Census Area AK,AK,400,5561,5750
Bethel Census Area AK,AK,400,17013,17868
Bristol Bay Borough AK,AK,400,997,957
Dillingham Census Area AK,AK,400,4847,4988
Hoonah-Angoon Census Area,AK,400,2150,2082
Ketchikan Gateway Borough AK,AK,400,5,5.115
Kodiak Island Borough AK,AK,400,13592,13986
Lake and Peninsula Borough AK,AK,400,1631,1631
Nome Census Area AK,AK,400,9492,9817
North Slope Borough AK,AK,400,9430,9703
Northwest Arctic Borough AK,AK,400,7523,7717
Petersburg Census Area,AK,400,3815,3160
Prince of Wales-Hyder Census Area,AK,400,5559,6396
Skagway Municipality,AK,400,968,1036
Wade Hampton Census Area AK (D),AK,400,7459,8010
Wrangell City and Borough,AK,400,2369,2364
Yakutat Borough,AK,400,662,635
Yukon-Koyukuk Census Area AK,AK,400,5588,5547
Colbert AL,AL,100,54428,54543
Lauderdale AL,AL,100,92709,93096
Madison AL,AL,200,173632,181664.031
Limestone AL,AL,300,82782,90787
Madison AL,AL,300,161179,168634.969
DeKalb AL,AL,400,71109,71065
Jackson AL,AL,400,53227,52665
Cullman AL,AL,500,80406,81289
Marshall AL,AL,500,93019,94636
Winston AL,AL,500,24484,24150
Lawrence AL,AL,600,34339,33477
Morgan AL,AL,600,119490,119607
Fayette AL,AL,700,17241,16874
Franklin AL,AL,700,31704,31601
Lamar AL,AL,700,14564,14086
Marion AL,AL,700,30776,30271
Pickens AL,AL,700,19746,20365
Sumter AL,AL,700,13763,13166
Blount AL,AL,800,57322,57719
St. Clair AL,AL,800,83593,86697
Walker AL,AL,800,67023,65471
Jefferson AL,AL,901,89625,89941.732
Jefferson AL,AL,902,100833,101189.341
Jefferson AL,AL,903,170157,170758.33
Jefferson AL,AL,904,187134,187795.326
Jefferson AL,AL,905,110717,111108.271
Etowah AL,AL,1000,104430,103531
Calhoun AL,AL,1100,4,3.91
Cherokee AL,AL,1100,25989,26037
Clay AL,AL,1100,13932,13552
Cleburne AL,AL,1100,14972,15080
Randolph AL,AL,1100,22913,22539
Talladega AL,AL,1100,82291,81322
Calhoun AL,AL,1200,118568,115912.09
Shelby AL,AL,1300,195085,206655
Tuscaloosa AL,AL,1400,194656,202212
Bibb AL,AL,1500,22915,22506
Dallas AL,AL,1500,43819,41710.048
Greene AL,AL,1500,9045,8553
Hale AL,AL,1500,15760,15184
Marengo AL,AL,1500,21027,20110
Perry AL,AL,1500,10591,9826
Chambers AL,AL,1600,34215,34076
Chilton AL,AL,1600,43643,43931
Coosa AL,AL,1600,11539,10886
Tallapoosa AL,AL,1600,41586,41135.325
Lee AL,AL,1700,140182,154183.508
Russell AL,AL,1700,2,2.252
Barbour AL,AL,1800,27457,26887
Bullock AL,AL,1800,10914,10764
Butler AL,AL,1800,20947,20296
Crenshaw AL,AL,1800,13906,13977
Henry AL,AL,1800,17302,17190
Lee AL,AL,1800,65,71.492
Macon AL,AL,1800,21452,19425
Pike AL,AL,1800,32899,33389
Russell AL,AL,1800,52945,59605.748
Tallapoosa AL,AL,1800,30,29.675
Montgomery AL,AL,1900,204647,201815.028
Autauga AL,AL,2000,54571,55395
Elmore AL,AL,2000,79303,80977
Montgomery AL,AL,2000,24716,24373.972
Choctaw AL,AL,2100,13859,13323
Clarke AL,AL,2100,25833,24945
Conecuh AL,AL,2100,13228,12670
Dallas AL,AL,2100,1,0.952
Escambia AL,AL,2100,38319,37733
Lowndes AL,AL,2100,11299,10580
Monroe AL,AL,2100,23068,21947
Washington AL,AL,2100,17581,16834
Wilcox AL,AL,2100,11670,11098
Mobile AL,AL,2200,190370,191352.291
Mobile AL,AL,2300,222622,223770.709
Baldwin AL,AL,2400,182265,200111
Coffee AL,AL,2500,49948,50909
Covington AL,AL,2500,37765,37914
Geneva AL,AL,2500,26786,26708.012
Dale AL,AL,2600,50251,49484
Geneva AL,AL,2600,4,3.988
Houston AL,AL,2600,101547,104193
Benton AR,AR,100,221339,242321
Washington AR,AR,100,93,101.119
Washington AR,AR,200,202972,220690.881
Baxter AR,AR,300,41513,40857
Boone AR,AR,300,36903,37196
Carroll AR,AR,300,27446,27744
Madison AR,AR,300,15717,15740
Marion AR,AR,300,16653,16367
Newton AR,AR,300,8330,7904
Searcy AR,AR,300,8195,7929
Cleburne AR,AR,400,25970,25634
Fulton AR,AR,400,12245,12125
Independence AR,AR,400,36647,36959
Izard AR,AR,400,13696,13486
Sharp AR,AR,400,17264,16906
Stone AR,AR,400,12394,12494
Van Buren AR,AR,400,17293,16849.051
Clay AR,AR,500,16083,15118
Craighead AR,AR,500,96443,102518
Greene AR,AR,500,42090,43694
Lawrence AR,AR,500,17415,16931
Randolph AR,AR,500,17969,17571
Crittenden AR,AR,600,50902,49548
Mississippi AR,AR,600,46480,44235
Cross AR,AR,700,17870,17227
Lee AR,AR,700,10424,9860
Phillips AR,AR,700,21757,19930
Poinsett AR,AR,700,24583,24246
St. Francis AR,AR,700,28258,26899
Jackson AR,AR,800,17997,17534
Monroe AR,AR,800,8149,7582
Prairie AR,AR,800,8715,8304
White AR,AR,800,77076,78592
Woodruff AR,AR,800,7260,6910
Pulaski AR,AR,900,192506,197512.44
Pulaski AR,AR,1000,190242,195189.56
Faulkner AR,AR,1100,113237,120768
Lonoke AR,AR,1100,68356,71557
Saline AR,AR,1100,107118,115719
Conway AR,AR,1200,21273,21083
Johnson AR,AR,1200,25540,26005
Perry AR,AR,1200,10445,10245
Pope AR,AR,1200,61754,63201
Van Buren AR,AR,1200,2,1.949
Yell AR,AR,1200,22185,21951
Crawford AR,AR,1300,61948,61697
Sebastian AR,AR,1300,125744,126776
Franklin AR,AR,1400,18125,17805
Howard AR,AR,1400,13789,13500
Logan AR,AR,1400,22353,21958
Polk AR,AR,1400,20658,20221.085
Scott AR,AR,1400,11233,10693
Sevier AR,AR,1400,17058,17426
Clark AR,AR,1500,22995,22576
Garland AR,AR,1500,96024,97322
Hot Spring AR,AR,1500,32923,33368
Montgomery AR,AR,1500,9487,9082
Polk AR,AR,1500,4,3.915
Arkansas AR,AR,1600,19019,18594
Grant AR,AR,1600,17853,18144
Jefferson AR,AR,1600,77435,72297
Ashley AR,AR,1700,21853,20948
Bradley AR,AR,1700,11508,11148
Chicot AR,AR,1700,11800,11180
Cleveland AR,AR,1700,8689,8449
Desha AR,AR,1700,13008,12264
Drew AR,AR,1700,18509,18622
Lincoln AR,AR,1700,14134,13970
Calhoun AR,AR,1800,5368,5202
Columbia AR,AR,1800,24552,23933
Dallas AR,AR,1800,8116,7755
Ouachita AR,AR,1800,26120,24828
Union AR,AR,1800,41639,40227
Hempstead AR,AR,1900,22609,22327
Lafayette AR,AR,1900,7645,7111
Little River AR,AR,1900,13171,12532
Miller AR,AR,1900,43462,43428
Nevada AR,AR,1900,8997,8723
Pike AR,AR,1900,11291,11024
Maricopa AZ,AZ,101,144539,154765.625
Maricopa AZ,AZ,102,146208,156552.713
Maricopa AZ,AZ,103,234790,251402.19
Maricopa AZ,AZ,104,203305,217689.52
Maricopa AZ,AZ,105,175214,187610.986
Maricopa AZ,AZ,106,100162,107248.802
Maricopa AZ,AZ,107,140319,150247.046
Maricopa AZ,AZ,108,113505,121535.864
Maricopa AZ,AZ,109,171054,183156.652
Maricopa AZ,AZ,110,338420,362364.365
Maricopa AZ,AZ,111,181865,194732.567
Maricopa AZ,AZ,112,155562,166568.54
Maricopa AZ,AZ,113,98693,105675.865
Maricopa AZ,AZ,114,197491,211464.159
Maricopa AZ,AZ,115,143054,153175.557
Maricopa AZ,AZ,116,165987,177731.144
Maricopa AZ,AZ,117,138735,148550.973
Maricopa AZ,AZ,118,170511,182575.233
Maricopa AZ,AZ,119,156232,167285.945
Maricopa AZ,AZ,120,252488,270352.384
Maricopa AZ,AZ,121,245791,263181.549
Maricopa AZ,AZ,122,143192,153323.321
Pima AZ,AZ,201,139800,143258.836
Pima AZ,AZ,202,104157,106733.982
Pima AZ,AZ,203,104334,106915.361
Pima AZ,AZ,204,139816,143275.232
Pima AZ,AZ,205,120267,123242.564
Pima AZ,AZ,206,150579,154304.523
Pima AZ,AZ,207,221310,226785.501
Apache AZ,AZ,300,71518,71828
Navajo AZ,AZ,300,107449,108101
Coconino AZ,AZ,400,134421,137682
Yavapai AZ,AZ,500,211033,218844
La Paz AZ,AZ,600,20489,20231
Mohave AZ,AZ,600,200186,203361
Yuma AZ,AZ,700,195751,203247
Gila AZ,AZ,800,53597,53119
Pinal AZ,AZ,800,375770,401918
Cochise AZ,AZ,900,131346,127448
Graham AZ,AZ,900,37220,37957
Greenlee AZ,AZ,900,8437,9346
Santa Cruz AZ,AZ,900,47420,46695
Del Norte CA,CA,100,28610,27212
Lassen CA,CA,100,34895,31749
Modoc CA,CA,100,9686,9023
Siskiyou CA,CA,100,44900,43628
Humboldt CA,CA,200,134623,134809
Shasta CA,CA,300,177223,179804
Lake CA,CA,400,64665,64184
Mendocino CA,CA,400,87841,87869
Colusa CA,CA,500,21419,21419
Glenn CA,CA,500,28122,27955
Tehama CA,CA,500,63463,63067
Trinity CA,CA,500,13786,13170
Butte CA,CA,600,220000,224241
Yuba CA,CA,600,6,6.151
Nevada CA,CA,700,98764,98893
Plumas CA,CA,700,20007,18606
Sierra CA,CA,700,3240,3003
Sutter CA,CA,800,94737,95847
Yuba CA,CA,800,72149,73959.849
Yolo CA,CA,900,200849,207590
Napa CA,CA,1000,136484,141667
Sonoma CA,CA,1101,179083,185157.813
Sonoma CA,CA,1102,120153,124228.803
Sonoma CA,CA,1103,184642,190905.384
Marin CA,CA,1201,104847,108311.729
Marin CA,CA,1202,147562,152438.271
Solano CA,CA,1301,144838,151070.662
Solano CA,CA,1302,138815,144788.481
Solano CA,CA,1303,129691,135271.857
Sacramento CA,CA,1401,186984,195318.222
Sacramento CA,CA,1402,105208,109897.315
Sacramento CA,CA,1403,174301,182069.917
Sacramento CA,CA,1501,143011,149385.264
Sacramento CA,CA,1502,105079,109762.565
Sacramento CA,CA,1503,168306,175807.709
Sacramento CA,CA,1504,165825,173216.126
Sacramento CA,CA,1505,183471,191648.641
Sacramento CA,CA,1506,185647,193921.629
Placer CA,CA,1601,186452,198899.899
Placer CA,CA,1602,161980,172794.101
El Dorado CA,CA,1700,181058,183087
Sacramento CA,CA,1700,956,998.611
Alpine CA,CA,1800,1175,1116
Amador CA,CA,1800,38091,36742
Calaveras CA,CA,1800,45578,44624
Inyo CA,CA,1800,18546,18410
Mariposa CA,CA,1800,18251,17682
Mono CA,CA,1800,14202,13997
Tuolumne CA,CA,1800,55365,53831
San Joaquin CA,CA,1901,124458,129959.13
San Joaquin CA,CA,1902,156231,163136.518
San Joaquin CA,CA,2001,215009,224512.547
San Joaquin CA,CA,2002,189608,197988.805
Contra Costa CA,CA,2101,130739,138505.135
Contra Costa CA,CA,2102,120159,127296.664
Contra Costa CA,CA,2103,107787,114189.745
Contra Costa CA,CA,2104,148894,157738.575
Contra Costa CA,CA,2105,142158,150602.445
Contra Costa CA,CA,2106,130308,138048.533
Contra Costa CA,CA,2107,110096,116635.903
Contra Costa CA,CA,2108,158884,168322
San Francisco CA,CA,2201,136936,144968.481
San Francisco CA,CA,2202,107027,113305.06
San Francisco CA,CA,2203,129066,136636.838
San Francisco CA,CA,2204,106640,112895.359
San Francisco CA,CA,2205,105336,111514.868
San Francisco CA,CA,2206,110830,117331.138
San Francisco CA,CA,2207,109400,115817.257
San Mateo CA,CA,2301,137233,144898.325
San Mateo CA,CA,2302,117476,124037.772
San Mateo CA,CA,2303,104209,110029.727
San Mateo CA,CA,2304,118650,125277.348
San Mateo CA,CA,2305,127316,134427.398
San Mateo CA,CA,2306,113567,119910.43
Alameda CA,CA,2401,131119,139857.251
Alameda CA,CA,2402,158091,168626.764
Alameda CA,CA,2403,125220,133565.12
Alameda CA,CA,2404,124572,132873.935
Alameda CA,CA,2405,163570,174470.905
Alameda CA,CA,2406,134761,143741.967
Alameda CA,CA,2407,145655,155361.984
Alameda CA,CA,2408,135402,144425.686
Alameda CA,CA,2409,189764,202410.569
Alameda CA,CA,2410,202117,215586.818
Stanislaus CA,CA,2500,201896,208781.106
Stanislaus CA,CA,2601,165263,170898.839
Stanislaus CA,CA,2602,147294,152317.055
Santa Clara CA,CA,2701,195320,207704.044
Santa Clara CA,CA,2702,144475,153635.274
Santa Clara CA,CA,2703,128678,136836.683
Santa Clara CA,CA,2704,128989,137167.402
Santa Clara CA,CA,2705,106040,112763.347
Santa Clara CA,CA,2706,114473,121731.031
Santa Clara CA,CA,2707,132926,141354.023
Santa Clara CA,CA,2708,130316,138578.539
Santa Clara CA,CA,2709,121804,129526.845
Santa Clara CA,CA,2710,157311,167285.126
Santa Clara CA,CA,2711,103766,110345.166
Santa Clara CA,CA,2712,105312,111989.188
Santa Clara CA,CA,2713,116147,123511.169
Santa Clara CA,CA,2714,96085,102177.161
Santa Cruz CA,CA,2801,126912,131469.343
Santa Cruz CA,CA,2802,135470,140334.657
Monterey CA,CA,2900,148111,153922.934
Monterey CA,CA,3001,122923,127746.547
Monterey CA,CA,3002,144023,149674.519
San Benito CA,CA,3002,55269,58267
Merced CA,CA,3100,255366,265908.372
Madera CA,CA,3200,150865,154548
Fresno CA,CA,3301,328153,340681.677
Fresno CA,CA,3302,150213,155948.039
Fresno CA,CA,3401,162448,168650.163
Merced CA,CA,3401,427,444.628
Fresno CA,CA,3402,289636,300694.122
Tulare CA,CA,3501,135978,140904.131
Tulare CA,CA,3502,143634,148837.488
Tulare CA,CA,3503,162567,168456.381
Kings CA,CA,3600,152982,150269
San Luis Obispo CA,CA,3701,129190,133715.821
San Luis Obispo CA,CA,3702,140447,145367.179
Kern CA,CA,3800,329850,343583.29
Kern CA,CA,3901,154390,160818.021
Kern CA,CA,3902,172834,180029.936
Kern CA,CA,3903,182540,190140.045
San Bernardino CA,CA,4000,163924,170158.832
San Bernardino CA,CA,4100,161094,167221.193
San Bernardino CA,CA,4200,175781,182466.812
San Bernardino CA,CA,4300,206735,214598.144
San Bernardino CA,CA,4401,164434,170688.23
San Bernardino CA,CA,4402,115158,119538.023
San Bernardino CA,CA,4403,225329,233899.365
San Bernardino CA,CA,4404,219704,228060.419
San Bernardino CA,CA,4405,174475,181111.138
Los Angeles CA,CA,4406,2,2.061
San Bernardino CA,CA,4406,262989,272991.759
San Bernardino CA,CA,4407,165544,171840.449
Los Angeles CA,CA,4500,156585,161339.035
Los Angeles CA,CA,4600,151935,156547.857
Los Angeles CA,CA,4700,164698,169698.351
Los Angeles CA,CA,4800,103325,106462.022
Los Angeles CA,CA,4900,191757,197578.882
Los Angeles CA,CA,5000,137243,141409.797
Los Angeles CA,CA,5100,113487,116932.548
Los Angeles CA,CA,5200,149115,153642.24
Los Angeles CA,CA,5300,124904,128696.176
Los Angeles CA,CA,5401,174788,180094.691
Los Angeles CA,CA,5402,138655,142864.667
Los Angeles CA,CA,5403,127853,131734.71
Los Angeles CA,CA,5404,136386,140526.778
Los Angeles CA,CA,5405,134858,138952.387
Los Angeles CA,CA,5406,133453,137504.73
Los Angeles CA,CA,5407,160322,165189.493
Los Angeles CA,CA,5408,171665,176876.874
Los Angeles CA,CA,5409,159419,164259.077
Los Angeles CA,CA,5410,164443,169435.609
Los Angeles CA,CA,5411,199541,205599.21
Los Angeles CA,CA,5412,164338,169327.421
Los Angeles CA,CA,5413,219566,226232.184
Los Angeles CA,CA,5414,112679,116100.017
Los Angeles CA,CA,5415,190032,195801.51
Los Angeles CA,CA,5416,222543,229299.568
Los Angeles CA,CA,5417,164236,169222.325
Los Angeles CA,CA,5418,109038,112348.473
Los Angeles CA,CA,5419,158277,163082.405
Los Angeles CA,CA,5420,120966,124638.616
Los Angeles CA,CA,5421,170363,175535.345
